poi_id,name,year,profession,confidence,_si_clue
old_south_trask_cemetery,Old South Trask Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
peabody_essex_museum_2,Peabody Essex Museum,1626,1690s puritan colonial witch-trial magistrate,0.6,museum that held the salem witch trial documents from 1980.
peabody_essex_museum_3,Peabody Essex Museum,,master woodcarver,0.7,lma_desc='mcintire'
pedrick_store_house,Pedrick Store House,1770,early 18th-century colonial shopkeeper,0.95,original_use=store house
peirce_nichols_house,Peirce-Nichols House,1782,Federal-era master woodcarver,0.7,lma_desc='samuel mcintire'
prescott_memorial_cemetery,Prescott Memorial Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
proctors_ledge_memorial,Proctor's Ledge Memorial,1692,1690s puritan colonial wronged accused witch (gallows-bound),0.85,lma_name='proctor's ledge'
public_stores,Public Stores,,merchant sea-captain,0.9,original_use=warehouse
rebecca_nurse_homestead,Rebecca Nurse Homestead,,wronged accused witch (gallows-bound),0.7,lma_desc='rebecca nurse'
red_s_sandwich_shop,Red’s Sandwich Shop,1945,early-20th-century merchant sea-captain,0.55,captain cook departed from sandwich.
roger_conant_statue,Roger Conant Statue,1626,1690s puritan colonial puritan founder in cloak,0.85,lma_name='conant'
saint_marys_cemetery,Saint Marys Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
salem,Salem,1626,1690s puritan colonial brooding novelist with quill,0.55,author whose work is critically analyzed in the source.
salem_common_2,Salem Common,1637,1690s puritan colonial witch-trial magistrate,0.6,the salem common was a location for public humiliation during the salem witch trials of 1692.
salem_jail_site,Old Salem Jail Site,1692,1690s puritan colonial weary jailer with iron keys,0.85,lma_name='jail'
salem_maritime_national_historical_park,Salem Maritime National Historical Park,1938,early-20th-century witch-trial magistrate,0.85,a witness house to the 1692 witch trials within the park.
salem_maritime_national_historic_park_central_wharf,Salem Maritime National Historic Park / Central Wharf,,merchant sea-captain,0.85,lma_name='wharf'
salem_maritime_national_historic_site,Salem Maritime National Historic Site,1938,early-20th-century merchant sea-captain,0.8,derby wharf is a component of the salem maritime national historic site.
salem_public_library,Salem Public Library,1889,late-Victorian master woodcarver,0.7,lma_desc='mcintire'
salem_witch_trials_memorial,Salem Witch Trials Memorial,,wronged accused witch (gallows-bound),0.85,lma_name='witch trials memorial'
scale_house,Scale House,1829,Federal-era tavern-keeper,0.85,lma_name='ale house'
scarlet_letter_house,14 Mall Street (Scarlet Letter House),1847,antebellum Victorian brooding novelist with quill,0.85,lma_name='scarlet letter'
ship_tavern_site,Ship Tavern Site,1692,1690s puritan colonial tavern-keeper,0.85,lma_name='tavern'
the_burying_point_2,The Burying Point,,weathered sexton (gravedigger),0.85,lma_name='burying point'
the_first_church_location_baac36,The First Church Location,,puritan minister,0.85,lma_name='first church'
the_first_muster,The First Muster,1637,1690s puritan colonial militia officer with musket,0.85,lma_name='muster'
the_house_of_the_seven_gables_3,The House of the Seven Gables,1910,early-20th-century brooding novelist with quill,0.85,lma_name='seven gables'
the_salem_inn_2,The Salem Inn,1800,Federal-era tavern-keeper,0.85,lma_name=' inn'
the_witch_house_at_salem,The Witch House at Salem,1650,1690s puritan colonial witch-trial magistrate,0.85,lma_name='witch house'
washington_arch,Washington Arch,1630,stoic stone-watcher,0.85,lma_name='washington arch'
waterside_cemetery,Waterside Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
west_india_goods_store,West India Goods Store,,shopkeeper,0.9,original_use=retail shop
wilson_cemetery,Wilson Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
witch_trials_memorial,Witch Trials Memorial,,wronged accused witch (gallows-bound),0.85,lma_name='witch trials memorial'
world_war_ii_memorial,World War II Memorial,,stoic stone-watcher,0.85,lma_name='world war'
